+--------+--------------------+-----------------+-------+------------------+
| Graph6 | Number of vertexes | Number of edges | Girth | Chromatic number |
+--------+--------------------+-----------------+-------+------------------+
| G???F{ |         8          |        14       |  inf  |        2         |
| G??CFw |         8          |        14       |  inf  |        2         |
| G??CF{ |         8          |        16       |   3   |        3         |
| G??EDw |         8          |        14       |  inf  |        2         |
| G??E@{ |         8          |        14       |  inf  |        2         |
| G??EFw |         8          |        16       |   4   |        2         |
| G??ED{ |         8          |        16       |   3   |        3         |
| G??EF{ |         8          |        18       |   3   |        3         |
| G??FCw |         8          |        14       |  inf  |        2         |
| G??F?{ |         8          |        14       |  inf  |        2         |
| G??FEw |         8          |        16       |   4   |        2         |
| G??FC{ |         8          |        16       |   3   |        3         |
| G??FFw |         8          |        18       |   4   |        2         |
| G??FE{ |         8          |        18       |   3   |        3         |
| G??FF{ |         8          |        20       |   3   |        3         |
| G??FeW |         8          |        16       |   4   |        2         |
| G??FfW |         8          |        18       |   4   |        2         |
| G??Fe[ |         8          |        18       |   3   |        3         |
| G??Ffw |         8          |        20       |   4   |        2         |
| G??Ff[ |         8          |        20       |   3   |        3         |
| G??Ff{ |         8          |        22       |   3   |        3         |
| G??Fvg |         8          |        20       |   4   |        2         |
| G??Fvw |         8          |        22       |   4   |        2         |
| G??Fvk |         8          |        22       |   3   |        3         |
| G??Fv{ |         8          |        24       |   3   |        3         |
| G??F~w |         8          |        24       |   4   |        2         |
| G??F~{ |         8          |        26       |   3   |        3         |
| G?AAFo |         8          |        14       |  inf  |        2         |
| G?AAFw |         8          |        16       |   3   |        3         |
| G?AAF{ |         8          |        18       |   3   |        3         |
| G?AEDo |         8          |        14       |  inf  |        2         |
| G?AEBo |         8          |        14       |  inf  |        2         |
| G?AEFo |         8          |        16       |   4   |        2         |
| G?AEDw |         8          |        16       |   3   |        3         |
| G?AEBw |         8          |        16       |   5   |        3         |
| G?AEDs |         8          |        16       |   3   |        3         |
| G?AEFw |         8          |        18       |   3   |        3         |
| G?AEFs |         8          |        18       |   3   |        3         |
| G?AEF{ |         8          |        20       |   3   |        3         |
| G?ABEo |         8          |        14       |  inf  |        2         |
| G?ABCs |         8          |        14       |  inf  |        2         |
| G?ABFo |         8          |        16       |   4   |        2         |
| G?ABEw |         8          |        16       |   3   |        3         |
| G?ABEs |         8          |        16       |   3   |        3         |
| G?ABC{ |         8          |        16       |   3   |        3         |
| G?ABFw |         8          |        18       |   3   |        3         |
| G?ABFs |         8          |        18       |   3   |        3         |
| G?ABE{ |         8          |        18       |   3   |        3         |
| G?ABF{ |         8          |        20       |   3   |        3         |
| G?ACNo |         8          |        16       |   3   |        3         |
| G?ACNw |         8          |        18       |   3   |        3         |
| G?ACN{ |         8          |        20       |   3   |        4         |
| G?AF?w |         8          |        14       |  inf  |        2         |
| G?AFEo |         8          |        16       |   4   |        2         |
| G?AFBo |         8          |        16       |   4   |        2         |
| G?AFCw |         8          |        16       |   3   |        3         |
| G?AFAw |         8          |        16       |   5   |        3         |
| G?AFCs |         8          |        16       |   3   |        3         |
| G?AF?{ |         8          |        16       |   4   |        2         |
| G?AFFo |         8          |        18       |   4   |        2         |
| G?AFEw |         8          |        18       |   3   |        3         |
